ID;BEGIN_TIME;END_TIME;STATION_TYPE;ADDRESS;SECTOR_TYPE;LAC;CELL;CELL_SIGN;ADDRESS_TYPE_ID;ADDRESS_TYPE;ZIP;COUNTRY;REGION;ZONE;CITY;STREET;BUILDING;BUILD_SECT;APARTMENT;UNSTRUCT_INFO;LATITUDE_GRADE;LONGITUDE_GRADE;PROJECTION_TYPE;REGION_ID;ANTENNA_TYPE
276246570;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Москвская обл., г. Серпухов,  ул. Володарского,  д.5;1;17265432;42;;3;0;;РОССИЯ;Московская ;;Серпухов;Володарского;5;;;;54.9191667;37.3986111;0;28;2
124983338;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Москвская обл., г. Серпухов,  ул. Володарского,  д.5;1;17265432;42;;3;0;;РОССИЯ;Московская ;;Серпухов;Володарского;5;;;;54.9191667;37.3986111;0;28;2
17265432;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Москвская обл., г. Серпухов,  ул. Володарского,  д.5;1;17265432;42;;3;0;;РОССИЯ;Московская ;;Серпухов;Володарского;5;;;;54.9191667;37.3986111;0;28;2
276246571;2012-12-18 00:00:00;2012-12-18 00:00:00;4;МО, г. Серпухов, Московское шоссе, д. 68А;1;17265432;43;;3;0;;РОССИЯ;Московская ;;Серпухов;Московское шоссе;68;А;;;54.9355556;37.4066667;0;28;2
124983339;2012-12-18 00:00:00;2012-12-18 00:00:00;4;МО, г. Серпухов, Московское шоссе, д. 68А;1;17265432;43;;3;0;;РОССИЯ;Московская ;;Серпухов;Московское шоссе;68;А;;;54.9355556;37.4066667;0;28;2
17265432;2012-12-18 00:00:00;2012-12-18 00:00:00;4;МО, г. Серпухов, Московское шоссе, д. 68А;1;17265432;43;;3;0;;РОССИЯ;Московская ;;Серпухов;Московское шоссе;68;А;;;54.9355556;37.4066667;0;28;2
276238426;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Московская обл., г. Электросталь, ул. Красная, д.7, стр. 1;1;17264927;90;;3;0;;РОССИЯ;Московская ;;Электросталь;Красная;7;1;;;55.8158333;38.4397222;0;28;2
124854106;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Московская обл., г. Электросталь, ул. Красная, д.7, стр. 1;1;17264927;90;;3;0;;РОССИЯ;Московская ;;Электросталь;Красная;7;1;;;55.8158333;38.4397222;0;28;2
17264927;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Московская обл., г. Электросталь, ул. Красная, д.7, стр. 1;1;17264927;90;;3;0;;РОССИЯ;Московская ;;Электросталь;Красная;7;1;;;55.8158333;38.4397222;0;28;2
276238348;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Московская обл., г. Орехово-Зуево, ул. Дзержинского, 670 м с-в д.34, труба;1;17264914;12;;3;0;;РОССИЯ;Московская ;;Орехово-Зуево;Дзержинского;34;;;;55.7958333;38.9369444;0;28;2
124850700;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Московская обл., г. Орехово-Зуево, ул. Дзержинского, 670 м с-в д.34, труба;1;17264914;12;;3;0;;РОССИЯ;Московская ;;Орехово-Зуево;Дзержинского;34;;;;55.7958333;38.9369444;0;28;2
17264914;2012-12-18 00:00:00;2012-12-18 00:00:00;4;Московская обл., г. Орехово-Зуево, ул. Дзержинского, 670 м с-в д.34, труба;1;17264914;12;;3;0;;РОССИЯ;Московская ;;Орехово-Зуево;Дзержинского;34;;;;55.7958333;38.9369444;0;28;2
276242459;2012-12-18 00:00:00;2012-12-18 00:00:00;4;г. Москва, Загородное шоссе, д. 1, корп.1;1;17265169;27;;3;0;;РОССИЯ;Московская ;;Москва;Загородное шоссе;1;1;;;55.7002778;37.6158333;0;28;2
124915995;2012-12-18 00:00:00;2012-12-18 00:00:00;4;г. Москва, Загородное шоссе, д. 1, корп.1;1;17265169;27;;3;0;;РОССИЯ;Московская ;;Москва;Загородное шоссе;1;1;;;55.7002778;37.6158333;0;28;2
17265169;2012-12-18 00:00:00;2012-12-18 00:00:00;4;г. Москва, Загородное шоссе, д. 1, корп.1;1;17265169;27;;3;0;;РОССИЯ;Московская ;;Москва;Загородное шоссе;1;1;;;55.7002778;37.6158333;0;28;2
