BASE_STATION_ID;AZIMUT;WIDTH;HORIZON_ANGLE;POWER;FREQUENCY_START;FREQUENCY_STOP;LEAF_LEVEL;VERTICAL_LIFT;GAIN_FACTOR;POLARIZATION;SETTING;THICKNESS;GENERATION;CONTROLLER_NUM;BCC_NCC;CELL_TYPE;RADIATION_CLASS;NAME;CHANNEL;REGION_ID
276246570;0;15;3;2;339;342;;71;7;0;;;;;;;;;;28
124983338;0;15;3;2;339;342;;71;7;0;;;;;;;;;;28
17265432;0;15;3;2;339;342;;71;7;0;;;;;;;;;;28
276246571;0;15;3;2;339;342;;65;7;0;;;;;;;;;;28
124983339;0;15;3;2;339;342;;65;7;0;;;;;;;;;;28
17265432;0;15;3;2;339;342;;65;7;0;;;;;;;;;;28
276238426;0;15;3;2;339;342;;71;7;0;;;;;;;;;;28
124854106;0;15;3;2;339;342;;71;7;0;;;;;;;;;;28
17264927;0;15;3;2;339;342;;71;7;0;;;;;;;;;;28
276238348;0;15;3;2;339;342;;87;7;0;;;;;;;;;;28
124850700;0;15;3;2;339;342;;87;7;0;;;;;;;;;;28
17264914;0;15;3;2;339;342;;87;7;0;;;;;;;;;;28
276242459;0;15;3;2;339;342;;48;7;0;;;;;;;;;;28
124915995;0;15;3;2;339;342;;48;7;0;;;;;;;;;;28
17265169;0;15;3;2;339;342;;48;7;0;;;;;;;;;;28
