ID;BASE_STATION_ID;CELL_WIRELESS;MAC;REGION_ID
276246570;276246570;276246570;000000000000;28
124983338;124983338;124983338;000000000000;28
17265432;17265432;17265432;000000000000;28
276246571;276246571;276246571;000000000000;28
124983339;124983339;124983339;000000000000;28
17265432;17265432;17265432;000000000000;28
276238426;276238426;276238426;000000000000;28
124854106;124854106;124854106;000000000000;28
17264927;17264927;17264927;000000000000;28
276238348;276238348;276238348;000000000000;28
124850700;124850700;124850700;000000000000;28
17264914;17264914;17264914;000000000000;28
276242459;276242459;276242459;000000000000;28
124915995;124915995;124915995;000000000000;28
17265169;17265169;17265169;000000000000;28
