TYPE_ID;BEGIN_TIME;END_TIME;DESCRIPTION;DESCRIPTION_RU;DESCRIPTION_SHORT;IN_OUT_DIRECTION;IS_MOBILE;REGION_ID
1;2012-12-18 00:00:00;2012-12-18 00:00:00;Intra-office;Внутренние вызовы;;;0;28
2;2012-12-18 00:00:00;2012-12-18 00:00:00;Incoming to office;Входящие вызова;;;0;28
3;2012-12-18 00:00:00;2012-12-18 00:00:00;Outgoing from office;Исходящие вызовы;;;0;28
4;2012-12-18 00:00:00;2012-12-18 00:00:00;Tandem;Транзитный вызов между шлюзами присоединенных операторов;;;0;28
5;2012-12-18 00:00:00;2012-12-18 00:00:00;Domestic to international;Вызов с местного на международный;;;0;28
6;2012-12-18 00:00:00;2012-12-18 00:00:00;International to domestic;Вызов с международного на местный;;;0;28
7;2012-12-18 00:00:00;2012-12-18 00:00:00;International to international;Вызов с международного на международный;;;0;28
8;2012-12-18 00:00:00;2012-12-18 00:00:00;Supplementary service;Дополнительные услуги (ДВО);;;0;28
1000;2012-12-18 00:00:00;2012-12-18 00:00:00;Unknown;Неизвестный;;;0;28
1001;2012-12-18 00:00:00;2012-12-18 00:00:00;Local call;Внутристанционный вызов (Вызов местных операторов внутри АТС);;;0;28
1002;2012-12-18 00:00:00;2012-12-18 00:00:00;Incoming call;Входящий вызов;;;0;28
1003;2012-12-18 00:00:00;2012-12-18 00:00:00;Outgoing call;Исходящий вызов;;;0;28
1004;2012-12-18 00:00:00;2012-12-18 00:00:00;Transit call;Транзитный вызов;;;0;28
